task,holdout_family,repeat,seed,split_hash,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,threshold,calibration_coverage,calibration_mae,calibration_mae_ucb95,ood_mae_all,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,calibration_aurc,ood_aurc
log_kvrh,other,5,20260729,492cabb52a18b994,ensemble_std,0.15,4431,1152,5404,True,0.12122833873504636,0.9192708333333334,0.14100119095622812,0.14878885392251653,0.25265975847398225,0.9145077720207254,0.24244491888600483,0.09244491888600484,0.29358452881707503,0.10723595709191895,0.20495711566271882
log_kvrh,other,5,20260729,492cabb52a18b994,descriptor_distance,0.15,4431,1152,5404,False,,0.0,,,0.25265975847398225,0.0,,,0.12615405182218953,0.14607573519821654,0.22708671000141034
log_kvrh,other,5,20260729,492cabb52a18b994,equal_rank_hybrid,0.15,4431,1152,5404,True,0.7838541666666667,0.8993055555555556,0.13975051280698256,0.14702917949408761,0.25265975847398225,0.43726868985936346,0.20314726355866522,0.053147263558665225,0.3018596313959255,0.11931086101718624,0.20192108416022847
log_kvrh,other,6,20260730,492cabb52a18b994,ensemble_std,0.15,4427,1156,5404,True,0.08035771980772652,0.7794117647058824,0.14111958772924688,0.14925173580010742,0.22585341111147697,0.6559955588452998,0.1831935076980509,0.033193507698050906,0.3964381425087283,0.11487615803231425,0.16939256975661907
log_kvrh,other,6,20260730,492cabb52a18b994,descriptor_distance,0.15,4427,1156,5404,False,,0.0,,,0.22585341111147697,0.0,,,0.1111392971525308,0.16401079574504887,0.20413404167717317
log_kvrh,other,6,20260730,492cabb52a18b994,equal_rank_hybrid,0.15,4427,1156,5404,True,0.5834775086505191,0.6600346020761245,0.13784406085231776,0.14890444056540628,0.22585341111147697,0.11491487786824574,0.13495316258694798,-0.015046837413052017,0.39330503370812697,0.13087907180919373,0.16925553768599166
log_kvrh,other,7,20260731,492cabb52a18b994,ensemble_std,0.15,4470,1113,5404,True,0.10476403169539247,0.8796046720575023,0.14029199876396234,0.14764870526816812,0.26081782513152285,0.8386380458919319,0.24594107054515926,0.09594107054515927,0.3083848243443725,0.1082466687357833,0.21070805467952114
log_kvrh,other,7,20260731,492cabb52a18b994,descriptor_distance,0.15,4470,1113,5404,False,,0.0,,,0.26081782513152285,0.0,,,0.12517576902874109,0.16341983172578417,0.23392606183222647
log_kvrh,other,7,20260731,492cabb52a18b994,equal_rank_hybrid,0.15,4470,1113,5404,True,0.6383647798742138,0.7601078167115903,0.13990352767920278,0.14942203311050523,0.26081782513152285,0.15988156920799407,0.16957639694126986,0.019576396941269864,0.3235821456729178,0.12373360293579506,0.2065491492769357
log_kvrh,other,8,20260732,492cabb52a18b994,ensemble_std,0.15,4484,1099,5404,True,0.13974958568671364,0.9399454049135578,0.14113385509050294,0.14849446388772522,0.2779826641481483,0.8997039230199851,0.25767738736615703,0.10767738736615703,0.3667567983517072,0.1036919780412105,0.2168752945024751
log_kvrh,other,8,20260732,492cabb52a18b994,descriptor_distance,0.15,4484,1099,5404,False,,0.0,,,0.2779826641481483,0.0,,,0.12484282749575479,0.15228896074347303,0.24593959788232106
log_kvrh,other,8,20260732,492cabb52a18b994,equal_rank_hybrid,0.15,4484,1099,5404,True,0.6851683348498635,0.8198362147406734,0.13945956500263965,0.14845229091643306,0.2779826641481483,0.18282753515914138,0.18493491369845197,0.034934913698451975,0.3798996135620438,0.11515768753569566,0.21338916731127935
log_kvrh,other,9,20260733,492cabb52a18b994,ensemble_std,0.15,4448,1135,5404,True,0.09748054690791354,0.8599118942731278,0.14055017174882592,0.14915301929981606,0.24330056893928434,0.756661732050333,0.21394414582506496,0.06394414582506497,0.3512580478956154,0.10999695254678281,0.19516927071557824
log_kvrh,other,9,20260733,492cabb52a18b994,descriptor_distance,0.15,4448,1135,5404,True,2.0571495313518704,0.21938325991189428,0.1339247666868929,0.14978768988148608,0.24330056893928434,0.0025906735751295338,0.14157721001392254,-0.008422789986077456,0.12575235591111447,0.15389683479949356,0.21729999005313633
log_kvrh,other,9,20260733,492cabb52a18b994,equal_rank_hybrid,0.15,4448,1135,5404,True,0.6550660792951541,0.7797356828193832,0.14031231179891082,0.14936673999571579,0.24330056893928434,0.16580310880829016,0.1642606443266401,0.014260644326640093,0.3558595626446036,0.11965159931680021,0.1911417731087332
log_kvrh,oxide,0,20260724,304b684b3ca60ca3,ensemble_std,0.15,7031,1772,2184,True,0.33832579767048077,1.0,0.1041547354816425,0.10862127640911899,0.24463813269911877,1.0,0.24463813269911877,0.09463813269911878,0.019793370059535773,0.06754213045125015,0.23132717563492838
log_kvrh,oxide,0,20260724,304b684b3ca60ca3,descriptor_distance,0.15,7031,1772,2184,True,21.63582740746411,1.0,0.10415473548164252,0.10853843789352755,0.24463813269911877,1.0,0.24463813269911877,0.09463813269911878,0.06646300808460609,0.10372801910250914,0.2347285686737855
log_kvrh,oxide,0,20260724,304b684b3ca60ca3,equal_rank_hybrid,0.15,7031,1772,2184,True,0.9779909706546275,1.0,0.10415473548164252,0.11015730708762056,0.24463813269911877,0.9986263736263736,0.24449346287580853,0.09449346287580854,0.03981269271348885,0.07454954295379204,0.2294275438252828
log_kvrh,oxide,1,20260725,304b684b3ca60ca3,ensemble_std,0.15,7055,1748,2184,True,0.25949118950562755,1.0,0.10329115054308376,0.10876428780832675,0.24688124222278685,0.9990842490842491,0.24679079649311905,0.09679079649311906,-0.05626323784104115,0.06874746476546705,0.24342049249490746
log_kvrh,oxide,1,20260725,304b684b3ca60ca3,descriptor_distance,0.15,7055,1748,2184,True,10.462789446261178,1.0,0.10329115054308374,0.10879878228269564,0.24688124222278685,1.0,0.24688124222278685,0.09688124222278685,0.08366032694708207,0.0992376809538775,0.23719871020256184
log_kvrh,oxide,1,20260725,304b684b3ca60ca3,equal_rank_hybrid,0.15,7055,1748,2184,True,0.9848398169336384,1.0,0.10329115054308376,0.10787482041064148,0.24688124222278685,1.0,0.24688124222278685,0.09688124222278685,-0.006375256946181415,0.07334141028943247,0.23946083416556724
log_kvrh,oxide,2,20260726,304b684b3ca60ca3,ensemble_std,0.15,7037,1766,2184,True,0.30055507220670963,1.0,0.11568208868948941,0.121833295723134,0.24375390676664085,1.0,0.24375390676664085,0.09375390676664086,-0.05796830910640822,0.07617279599068637,0.25038488818259286
log_kvrh,oxide,2,20260726,304b684b3ca60ca3,descriptor_distance,0.15,7037,1766,2184,True,12.339688324973574,1.0,0.11568208868948941,0.12130709495889706,0.24375390676664085,1.0,0.24375390676664085,0.09375390676664086,0.061929701673396495,0.10873972171552121,0.2342184156314931
log_kvrh,oxide,2,20260726,304b684b3ca60ca3,equal_rank_hybrid,0.15,7037,1766,2184,True,0.9878255945639864,1.0,0.11568208868948938,0.12111777735074797,0.24375390676664085,0.9995421245421245,0.24377850961195113,0.09377850961195114,-0.017293728727278433,0.08324799982463399,0.24157965329919867
log_kvrh,oxide,3,20260727,304b684b3ca60ca3,ensemble_std,0.15,7059,1744,2184,True,0.2341491803273266,1.0,0.10949832318140443,0.11570241546270085,0.24376199261243142,0.9990842490842491,0.2435796000135968,0.0935796000135968,0.03417353892832364,0.06619387221506312,0.23433264983914132
log_kvrh,oxide,3,20260727,304b684b3ca60ca3,descriptor_distance,0.15,7059,1744,2184,True,30.087589013501862,1.0,0.10949832318140443,0.11503314961864299,0.24376199261243142,1.0,0.24376199261243142,0.09376199261243143,0.0668647152760615,0.10809956149186911,0.23171436399902107
log_kvrh,oxide,3,20260727,304b684b3ca60ca3,equal_rank_hybrid,0.15,7059,1744,2184,True,0.9879587155963303,1.0,0.10949832318140443,0.11456817005701218,0.24376199261243142,0.9990842490842491,0.2437552725080642,0.0937552725080642,0.061703058640755364,0.07708474729731957,0.23174602706859698
log_kvrh,oxide,4,20260728,304b684b3ca60ca3,ensemble_std,0.15,7063,1740,2184,True,0.30509050887389183,1.0,0.11381052716352519,0.11945337717321744,0.24180602454664987,1.0,0.24180602454664987,0.09180602454664988,0.01773564800984261,0.07027222229715795,0.2319794116011309
log_kvrh,oxide,4,20260728,304b684b3ca60ca3,descriptor_distance,0.15,7063,1740,2184,True,11.42228316635134,1.0,0.11381052716352519,0.11935419330117565,0.24180602454664987,1.0,0.24180602454664987,0.09180602454664988,0.060817253335575944,0.10779199642793352,0.23318863881130064
log_kvrh,oxide,4,20260728,304b684b3ca60ca3,equal_rank_hybrid,0.15,7063,1740,2184,True,0.9879310344827585,1.0,0.11381052716352519,0.11884085207420571,0.24180602454664987,1.0,0.24180602454664987,0.09180602454664988,0.03312242361690286,0.079580171529565,0.22805692754843448
log_kvrh,oxide,5,20260729,304b684b3ca60ca3,ensemble_std,0.15,7058,1745,2184,True,0.29019280574326795,1.0,0.10430964321121156,0.10929278845606236,0.24651262770494117,0.9990842490842491,0.24646303309645828,0.09646303309645829,0.02209062029207555,0.06893522966205434,0.23650064316149785
log_kvrh,oxide,5,20260729,304b684b3ca60ca3,descriptor_distance,0.15,7058,1745,2184,True,11.204798169025805,1.0,0.10430964321121157,0.10930765426270675,0.24651262770494117,1.0,0.24651262770494117,0.09651262770494118,0.055791386391135185,0.10048789863791265,0.23627954343441596
log_kvrh,oxide,5,20260729,304b684b3ca60ca3,equal_rank_hybrid,0.15,7058,1745,2184,True,0.9948424068767908,1.0,0.10430964321121157,0.1097056778048699,0.24651262770494117,1.0,0.24651262770494117,0.09651262770494118,0.04541180005582392,0.07391250784160303,0.23516068689978453
log_kvrh,oxide,6,20260730,304b684b3ca60ca3,ensemble_std,0.15,7065,1738,2184,True,0.29658052194223194,1.0,0.11057693935735655,0.11706694226954134,0.24591382566597808,1.0,0.24591382566597808,0.09591382566597809,0.021849769043690036,0.07457307388830726,0.23538727285185404
log_kvrh,oxide,6,20260730,304b684b3ca60ca3,descriptor_distance,0.15,7065,1738,2184,True,21.798576717634628,1.0,0.11057693935735655,0.11644069984430871,0.24591382566597808,1.0,0.24591382566597808,0.09591382566597809,0.07305357233655348,0.10891438548753338,0.23673534351532052
log_kvrh,oxide,6,20260730,304b684b3ca60ca3,equal_rank_hybrid,0.15,7065,1738,2184,True,0.9922324510932106,1.0,0.11057693935735655,0.11708769570601596,0.24591382566597808,1.0,0.24591382566597808,0.09591382566597809,0.04441518004811457,0.08046301338908896,0.23427290212169133
