task,shift_type,holdout,repeat,policy,epsilon,retained_mae,mae_ci_low,mae_ci_high,violation_ci_low,violation_ci_high,n_retained,n_groups_retained
log_kvrh,element,Li,8,quantile_width,0.15,0.16033678493347175,0.15050088421254723,0.17263007788312248,0.0005008842125472368,0.02263007788312249,893,772
log_kvrh,element,Li,8,rf_distance_hybrid,0.15,0.15375868708246737,0.1432736371643083,0.1638786784401527,-0.006726362835691696,0.013878678440152697,893,772
log_kvrh,element,Li,8,rf_ensemble_std,0.15,0.15375868708246737,0.14315358321279065,0.16415123793376662,-0.006846416787209347,0.01415123793376663,893,772
log_kvrh,element,Li,9,descriptor_distance,0.15,0.15445471215585357,0.1456264906348711,0.16526277481256632,-0.004373509365128897,0.015262774812566327,893,772
log_kvrh,element,Li,9,quantile_width,0.15,0.16447490736564657,0.1531175304217991,0.17514727017358525,0.003117530421799103,0.025147270173585257,893,772
log_kvrh,element,Li,9,rf_distance_hybrid,0.15,0.15445471215585357,0.14450064283788894,0.1645056103659405,-0.005499357162111057,0.014505610365940502,893,772
log_kvrh,element,Li,9,rf_ensemble_std,0.15,0.15445471215585357,0.1426195521003769,0.16782980826704094,-0.007380447899623083,0.017829808267040947,893,772
log_kvrh,element,Mg,0,descriptor_distance,0.15,0.1374100894995086,0.1291377910257297,0.1447542893178014,-0.020862208974270297,-0.00524571068219859,718,651
log_kvrh,element,Mg,0,quantile_width,0.15,0.14276138337865876,0.13324526011793358,0.15083923271290925,-0.01675473988206641,0.0008392327129092547,718,651
log_kvrh,element,Mg,0,rf_distance_hybrid,0.15,0.1374100894995086,0.12974447271305234,0.14521625981568884,-0.020255527286947655,-0.004783740184311158,718,651
log_kvrh,element,Mg,0,rf_ensemble_std,0.15,0.1374100894995086,0.12959001134686413,0.14514969037851266,-0.02040998865313587,-0.004850309621487331,718,651
log_kvrh,element,Mg,1,descriptor_distance,0.15,0.1450526671577898,0.1363977465325458,0.153584435683264,-0.013602253467454195,0.003584435683263998,718,651
log_kvrh,element,Mg,1,quantile_width,0.15,0.1486259444478644,0.14021376317287257,0.1594245965368582,-0.009786236827127426,0.009424596536858204,718,651
log_kvrh,element,Mg,1,rf_distance_hybrid,0.15,0.1450526671577898,0.135458325095309,0.15319193897893352,-0.014541674904690993,0.003191938978933523,718,651
log_kvrh,element,Mg,1,rf_ensemble_std,0.15,0.1450526671577898,0.13640359551173054,0.1536470339988079,-0.013596404488269459,0.0036470339988079192,718,651
log_kvrh,element,Mg,2,descriptor_distance,0.15,0.1445147068387672,0.13747745987891985,0.15372146682972884,-0.012522540121080145,0.003721466829728848,718,651
log_kvrh,element,Mg,2,quantile_width,0.15,0.14419953823972198,0.13640619815241808,0.1536751064932051,-0.01359380184758191,0.003675106493205099,718,651
log_kvrh,element,Mg,2,rf_distance_hybrid,0.15,0.1445147068387672,0.13622911224073594,0.1521648785744573,-0.01377088775926405,0.0021648785744572963,718,651
log_kvrh,element,Mg,2,rf_ensemble_std,0.15,0.1445147068387672,0.13650653929253725,0.15320548318069988,-0.01349346070746274,0.0032054831806998807,718,651
log_kvrh,element,Mg,3,descriptor_distance,0.15,0.13560448588329285,0.12915951239569257,0.14354326849482818,-0.02084048760430743,-0.006456731505171814,718,651
log_kvrh,element,Mg,3,quantile_width,0.15,0.14185612888162893,0.13455122968796676,0.15019492959475247,-0.015448770312033233,0.00019492959475247984,718,651
log_kvrh,element,Mg,3,rf_distance_hybrid,0.15,0.13560448588329285,0.12683551671634988,0.1448356505256814,-0.023164483283650117,-0.005164349474318597,718,651
log_kvrh,element,Mg,3,rf_ensemble_std,0.15,0.13560448588329285,0.12902389268176323,0.1433595328834696,-0.020976107318236764,-0.0066404671165304074,718,651
log_kvrh,element,Mg,4,descriptor_distance,0.15,0.14052056262445334,0.13219975374378598,0.14918320909623473,-0.017800246256214014,-0.0008167909037652687,718,651
log_kvrh,element,Mg,4,quantile_width,0.15,0.1514235821866221,0.14215856310791816,0.16150732054512462,-0.007841436892081832,0.011507320545124627,718,651
log_kvrh,element,Mg,4,rf_distance_hybrid,0.15,0.14052056262445334,0.13346805805710069,0.14830176848168553,-0.01653194194289931,-0.0016982315183144692,718,651
log_kvrh,element,Mg,4,rf_ensemble_std,0.15,0.14052056262445334,0.1338974188478583,0.14913820066950395,-0.016102581152141693,-0.0008617993304960436,718,651
log_kvrh,element,Mg,5,descriptor_distance,0.15,0.1382479867650771,0.13026795941901279,0.14544701886698055,-0.01973204058098721,-0.00455298113301944,718,651
log_kvrh,element,Mg,5,quantile_width,0.15,0.1439291777502804,0.13507267998190398,0.15271992576597004,-0.014927320018096019,0.0027199257659700493,718,651
log_kvrh,element,Mg,5,rf_distance_hybrid,0.15,0.1382479867650771,0.1302073896688307,0.14585489187487197,-0.019792610331169302,-0.0041451081251280275,718,651
log_kvrh,element,Mg,5,rf_ensemble_std,0.15,0.1382479867650771,0.1309478568041399,0.14688841468667488,-0.0190521431958601,-0.003111585313325116,718,651
log_kvrh,element,Mg,6,descriptor_distance,0.15,0.13484184386614945,0.12574542062234964,0.1408804332001393,-0.024254579377650354,-0.009119566799860701,718,651
log_kvrh,element,Mg,6,quantile_width,0.15,0.14916766928628503,0.14034504527453612,0.15664857032409232,-0.009654954725463877,0.006648570324092329,718,651
