task,shift_type,holdout,repeat,policy,epsilon,n_train,n_calibration,n_ood,policy_constructed,calibration_coverage,calibration_ucb95,ood_coverage,ood_retained_mae,risk_violation,ood_spearman,shift_median_distance,threshold
expt_gap,element,Te,2,quantile_width,0.5,3349,837,418,True,0.6391875746714456,0.47854392523364486,0.8564593301435407,0.8687709497206704,0.36877094972067037,0.5190111075436301,2.7114332720909173,2.3753500763786524
expt_gap,element,Te,2,descriptor_distance,0.5,3349,837,418,True,0.24014336917562723,0.4648687865517569,0.1937799043062201,0.804439599403864,0.304439599403864,-0.030869753333604782,2.7114332720909173,1.964105681002172
expt_gap,element,Te,2,rf_distance_hybrid,0.5,3349,837,418,True,0.9199522102747909,0.49434440967155885,0.9856459330143541,0.7329140546277171,0.23291405462771708,0.2559047724226967,2.7114332720909173,0.7526881720430108
expt_gap,element,Cu,0,rf_ensemble_std,0.5,3371,843,390,True,0.9798339264531435,0.48440378752988017,0.9769230769230769,0.7047478876070203,0.20474788760702034,0.6762428798481179,2.8490500592553456,0.923630544685968
expt_gap,element,Cu,0,quantile_width,0.5,3371,843,390,True,0.6998813760379596,0.4929110169491525,0.6410256410256411,0.6040399999999999,0.10403999999999991,0.3555052475046268,2.8490500592553456,2.507520421660197
expt_gap,element,Cu,0,descriptor_distance,0.5,3371,843,390,False,0.0,,0.0,,,-0.24416644117057942,2.8490500592553456,
expt_gap,element,Cu,0,rf_distance_hybrid,0.5,3371,843,390,True,0.9596678529062871,0.4996315158415008,0.9923076923076923,0.7429107961995084,0.2429107961995084,0.4910069119333478,2.8490500592553456,0.8131672597864769
expt_gap,element,Cu,1,rf_ensemble_std,0.5,3371,843,390,True,0.9798339264531435,0.4890718657881376,0.9846153846153847,0.6961092355994628,0.1961092355994628,0.6436888820444938,2.8138144705390298,0.9534288128147209
expt_gap,element,Cu,1,quantile_width,0.5,3371,843,390,True,0.6797153024911032,0.4996282722513089,0.6358974358974359,0.6105241935483869,0.11052419354838694,0.3108925027432717,2.8138144705390298,2.5162107277261736
expt_gap,element,Cu,1,descriptor_distance,0.5,3371,843,390,True,0.23962040332147094,0.49806630533656565,0.23846153846153847,0.6066493409882031,0.10664934098820311,-0.201263384024544,2.8138144705390298,1.8773382598209727
expt_gap,element,Cu,1,rf_distance_hybrid,0.5,3371,843,390,True,0.9395017793594306,0.49164613124453993,0.9794871794871794,0.7031591554233515,0.2031591554233515,0.5161280704487781,2.8138144705390298,0.7811387900355873
expt_gap,element,Cu,2,rf_ensemble_std,0.5,3370,844,390,True,0.9597156398104265,0.49512905874424457,0.958974358974359,0.6327510764218967,0.13275107642189665,0.6481314669833038,2.8283550610532284,0.8376046110840454
expt_gap,element,Cu,2,quantile_width,0.5,3370,844,390,True,0.659952606635071,0.49654398563734287,0.5743589743589743,0.5183928571428571,0.0183928571428571,0.37515114772409386,2.8283550610532284,2.4442146526804067
expt_gap,element,Cu,2,descriptor_distance,0.5,3370,844,390,True,0.20023696682464456,0.4842678175807639,0.13333333333333333,0.7115662200583195,0.2115662200583195,-0.19802325855609582,2.8283550610532284,1.6144029593661666
expt_gap,element,Cu,2,rf_distance_hybrid,0.5,3370,844,390,True,0.919431279620853,0.47946390261228267,0.9769230769230769,0.6824224370704056,0.18242243707040562,0.5001643300646246,2.8283550610532284,0.7606635071090047
expt_gap,element,Ga,0,rf_ensemble_std,0.5,3387,846,371,True,0.9598108747044918,0.49013159910376075,0.9919137466307277,0.6356404413115448,0.13564044131154485,0.5899027358262577,2.884497873340329,0.7154447235359584
expt_gap,element,Ga,0,quantile_width,0.5,3387,846,371,True,0.6997635933806147,0.4761216216216217,0.8194070080862533,1.2186842105263158,0.7186842105263158,0.832321910700119,2.884497873340329,2.4274387209697075
expt_gap,element,Ga,0,descriptor_distance,0.5,3387,846,371,False,0.0,,0.0,,,-0.20557382776183541,2.884497873340329,
expt_gap,element,Ga,0,rf_distance_hybrid,0.5,3387,846,371,True,0.9397163120567376,0.49360159658482206,0.9919137466307277,0.6418703943176646,0.14187039431766457,0.43006860740037317,2.884497873340329,0.7594562647754137
expt_gap,element,Ga,1,rf_ensemble_std,0.5,3386,847,371,True,0.9598583234946871,0.4996276353211037,0.9946091644204852,0.6016490635528896,0.1016490635528896,0.5550436524167655,2.941656599505845,0.7442927339629676
expt_gap,element,Ga,1,quantile_width,0.5,3386,847,371,True,0.7001180637544274,0.4633184463447427,0.8571428571428571,1.2835220125786162,0.7835220125786162,0.8259942666662436,2.941656599505845,2.420165593713344
expt_gap,element,Ga,1,descriptor_distance,0.5,3386,847,371,False,0.0,,0.0,,,-0.18804703522543828,2.941656599505845,
expt_gap,element,Ga,1,rf_distance_hybrid,0.5,3386,847,371,True,0.8996458087367178,0.4875698711269157,0.9784366576819407,0.606629357076095,0.106629357076095,0.39852469528805856,2.941656599505845,0.7278630460448643
expt_gap,element,Ga,2,rf_ensemble_std,0.5,3387,846,371,True,0.9397163120567376,0.4747216031553175,0.9865229110512129,0.5956198095467455,0.09561980954674554,0.5883127166138717,2.9390985438575226,0.6184259647312043
expt_gap,element,Ga,2,quantile_width,0.5,3387,846,371,True,0.7198581560283688,0.4911609195402299,0.8544474393530997,1.2523028391167192,0.7523028391167192,0.8161174875040542,2.9390985438575226,2.516434190249052
expt_gap,element,Ga,2,descriptor_distance,0.5,3387,846,371,False,0.0,,0.0,,,-0.2091583914650645,2.9390985438575226,
expt_gap,element,Ga,2,rf_distance_hybrid,0.5,3387,846,371,True,0.9196217494089834,0.49529410595954587,0.9892183288409704,0.6089541509121471,0.10895415091214711,0.4071232698148632,2.9390985438575226,0.739952718676123
expt_gap,cluster,C0,0,rf_ensemble_std,0.5,2760,691,1153,True,1.0,0.44460709068559884,1.0,2.180034119731194,1.6800341197311939,0.35586829934971353,6.834007415680611,4.233469004158957
expt_gap,cluster,C0,0,quantile_width,0.5,2760,691,1153,True,0.7395079594790159,0.49794602087410306,0.08065915004336513,0.5333333333333333,0.033333333333333326,0.05451314670036942,6.834007415680611,2.236421749720605
expt_gap,cluster,C0,0,descriptor_distance,0.5,2760,691,1153,True,1.0,0.4375658685266681,0.9696444058976583,2.174108519737733,1.6741085197377328,0.11682782626886684,6.834007415680611,10.715840505728883
expt_gap,cluster,C0,0,rf_distance_hybrid,0.5,2760,691,1153,True,1.0,0.43144550784295477,0.9991326973113617,2.1766618328189145,1.6766618328189145,0.35523711855033474,6.834007415680611,0.9934876989869754
expt_gap,cluster,C0,1,rf_ensemble_std,0.5,2761,690,1153,True,1.0,0.3602248221947385,0.9991326973113617,2.276158152999111,1.7761581529991108,0.4457071858579468,8.036750570243862,1.3761889982107085
expt_gap,cluster,C0,1,quantile_width,0.5,2761,690,1153,True,0.7797101449275362,0.4513457249070631,0.09366869037294015,0.8297222222222222,0.32972222222222225,0.2756903084064158,8.036750570243862,2.3195681027621156
expt_gap,cluster,C0,1,descriptor_distance,0.5,2761,690,1153,True,1.0,0.3634666980290251,0.9783174327840416,2.2803978347129417,1.7803978347129417,0.19321040338158135,8.036750570243862,10.901892936951432
expt_gap,cluster,C0,1,rf_distance_hybrid,0.5,2761,690,1153,True,1.0,0.3587070768164727,0.9930615784908933,2.2765963142923344,1.7765963142923344,0.43548057760839676,8.036750570243862,0.9855072463768116
expt_gap,cluster,C0,2,rf_ensemble_std,0.5,2761,690,1153,True,1.0,0.4172437920592866,0.9991326973113617,2.3835436662047287,1.8835436662047287,-0.09157877716759724,6.955825440241881,2.216022327703388
expt_gap,cluster,C0,2,quantile_width,0.5,2761,690,1153,True,0.7391304347826086,0.4709970588235293,0.07025151777970512,0.4837037037037037,-0.01629629629629631,0.13371148790333065,6.955825440241881,2.3021953984380508
expt_gap,cluster,C0,2,descriptor_distance,0.5,2761,690,1153,True,1.0,0.40584806057431405,0.9904596704249783,2.3874038670768054,1.8874038670768054,0.14296071194754512,6.955825440241881,11.271188484482131
expt_gap,cluster,C0,2,rf_distance_hybrid,0.5,2761,690,1153,True,1.0,0.41280376800647517,0.9661751951431049,2.373825991280995,1.8738259912809951,-0.04621811178847755,6.955825440241881,0.9891304347826086
expt_gap,cluster,C1,0,rf_ensemble_std,0.5,3230,807,567,True,0.9789343246592317,0.499003395971831,0.9982363315696648,0.7570966192683984,0.25709661926839844,-0.02083445282132549,9.208023780803298,0.9541685348578754
expt_gap,cluster,C1,0,quantile_width,0.5,3230,807,567,True,0.7199504337050805,0.4591936316695353,0.9911816578483245,1.3419572953736656,0.8419572953736656,0.47913653196981737,9.208023780803298,2.6849565983892125
expt_gap,cluster,C1,0,descriptor_distance,0.5,3230,807,567,False,0.0,,0.0,,,0.07376682156426205,9.208023780803298,
expt_gap,cluster,C1,0,rf_distance_hybrid,0.5,3230,807,567,True,0.9392812887236679,0.48922434253001507,0.04056437389770723,0.6054492105797596,0.10544921057975964,-0.005672558719259917,9.208023780803298,0.7552664188351921
